Months_As_Customer,Age,Policy_Number,Policy_Bind_Date,Policy_State,Policy_Csl,Policy_Deductable,Income,Policy_Annual_Premium,Insured_Zip,Insured_Sex,Insured_Education_Level,Insured_Occupation,Insured_Hobbies,Insured_Relationship,Incident_Date,Incident_Type,Collision_Type,Incident_Severity,Incident_State,Incident_City,Bodily_Injuries,Witnesses,Total_Claim_Amount,Injury_Claim,Vehicle_Claim,Auto_Make,Auto_Model,CAR_USE,URBANICITY,Auto_Year
461,57,737593,19-12-1997,IL,100/300,500,1754,865.33,615220,FEMALE,High School,farming-fishing,golf,own-child,14-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,Hillsdale,0,1,59040,9840,39360,Dodge,RAM,Commercial,Urban,1995
208,36,812025,18-06-2000,IL,250/500,500,0,1153.49,432711,MALE,Associate,craft-repair,base-jumping,other-relative,22-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,1,0,50500,10100,35350,Accura,TL,Private,Rural,2004
279,43,168151,24-04-1995,OH,500/1000,2000,0,1281.25,463583,MALE,Associate,machine-op-inspct,cross-fit,other-relative,17-01-2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,0,1,57690,6410,38460,Mercedes,C300,Private,Urban,2010
244,40,594739,16-06-2006,IL,100/300,500,70029,1342.8,439502,FEMALE,MD,sales,base-jumping,husband,02-02-2015,Vehicle Theft,Others,Trivial Damage,NY,Springfield,1,3,5940,660,4620,Toyota,Camry,Private,Urban,2014
134,30,843227,28-09-2007,OH,250/500,2000,97231,1443.32,613287,FEMALE,PhD,exec-managerial,dancing,unmarried,07-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Northbend,0,2,47790,5310,37170,Suburu,Impreza,Commercial,Rural,1995
122,29,283925,21-11-1991,OH,250/500,1000,0,1629.94,620104,FEMALE,Masters,priv-house-serv,skydiving,other-relative,02-02-2015,Parked Car,Others,Trivial Damage,SC,Riverwood,0,1,3850,350,3150,Dodge,Neon,Commercial,Urban,2014
156,31,475588,21-09-1996,IL,100/300,2000,0,1134.08,446895,MALE,PhD,other-service,reading,husband,07-02-2015,Single Vehicle Collision,Front Collision,Major Damage,NC,Arlington,2,0,59000,5900,47200,Ford,Fusion,Commercial,Rural,2013
232,43,751905,16-05-2001,OH,250/500,500,28383,1483.91,431531,MALE,College,machine-op-inspct,golf,husband,18-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Arlington,0,1,70600,7060,49420,Volkswagen,Passat,Private,Urban,2013
244,40,226725,11-08-1999,IN,500/1000,2000,62294,1304.67,605408,MALE,Masters,armed-forces,base-jumping,other-relative,10-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Hillsdale,1,1,61490,5590,44720,Dodge,RAM,Commercial,Rural,2001
84,30,942504,16-06-2003,IL,500/1000,2000,0,1035.79,457551,FEMALE,MD,protective-serv,kayaking,wife,30-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,1,0,57640,5240,41920,Volkswagen,Passat,Commercial,Urban,2010
394,57,395572,30-03-1999,IL,250/500,500,64854,1401.2,619892,FEMALE,High School,craft-repair,movies,own-child,25-01-2015,Vehicle Theft,Others,Trivial Damage,NC,Hillsdale,1,0,6890,1060,4770,Audi,A5,Private,Rural,1999
246,45,889883,03-02-1999,IL,250/500,1000,12891,1665.45,445853,MALE,JD,machine-op-inspct,hiking,wife,29-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,PA,Columbus,2,2,53280,11840,35520,Toyota,Camry,Commercial,Urban,2006
35,29,818167,25-08-2011,IN,500/1000,2000,0,653.66,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried,24-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Springfield,0,0,78300,15660,54810,BMW,X5,Private,Urban,2009
156,37,277767,28-06-2010,OH,100/300,500,68394,1080.13,606290,MALE,Associate,protective-serv,reading,other-relative,04-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,PA,Springfield,0,3,41490,4610,32270,Nissan,Pathfinder,Commercial,Urban,2001
195,36,842618,06-11-2001,IN,100/300,2000,0,1346.18,611852,FEMALE,Associate,machine-op-inspct,camping,wife,25-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Hillsdale,2,3,68970,12540,50160,Chevrolet,Tahoe,Private,Urban,2007
369,55,577810,15-04-2013,OH,250/500,2000,0,1589.54,444734,MALE,College,handlers-cleaners,camping,husband,27-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,VA,Arlington,2,0,85300,17060,59710,Toyota,Highlander,Private,Urban,2003
271,40,873114,07-12-1995,IL,100/300,1000,30000,1251.65,433683,FEMALE,Associate,other-service,camping,wife,19-02-2015,Parked Car,Others,Minor Damage,NY,Hillsdale,0,0,3080,560,2240,Audi,A3,Private,Urban,2012
332,47,994538,01-11-1991,IL,100/300,2000,40142,1083.01,448882,MALE,MD,craft-repair,paintball,other-relative,31-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,2,0,71760,11040,49680,Jeep,Grand Cherokee,Private,Urban,2010
107,26,727792,19-05-2014,OH,100/300,500,198756,974.59,466838,FEMALE,JD,armed-forces,skydiving,wife,18-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,1,0,59700,11940,35820,Nissan,Ultima,Private,Urban,2002
217,39,522506,15-03-1992,IL,500/1000,2000,30877,1399.85,605490,FEMALE,Masters,other-service,skydiving,other-relative,10-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Columbus,0,2,64920,10820,43280,Ford,Fusion,Private,Urban,1997
243,43,367595,03-02-2006,IN,500/1000,500,30877,1307.74,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child,28-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Riverwood,0,1,37530,4170,29190,Jeep,Wrangler,Private,Urban,2008
296,42,586104,16-03-2003,IN,250/500,2000,187963,1219.27,466970,MALE,Associate,tech-support,paintball,husband,16-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,Columbus,1,2,64080,7120,49840,Saab,93,Private,Urban,2012
264,41,424862,16-10-2002,OH,100/300,500,16045,1411.3,474801,MALE,PhD,prof-specialty,cross-fit,unmarried,08-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,PA,Northbrook,1,0,60390,10980,43920,BMW,M5,Private,Rural,2004
108,33,512813,27-01-1990,IL,100/300,2000,35450,694.45,450703,FEMALE,JD,armed-forces,exercise,not-in-family,20-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Northbend,0,1,64350,5850,46800,Nissan,Pathfinder,Private,Urban,2011
32,38,356768,11-03-2010,IL,100/300,500,23427,1006.77,478172,FEMALE,College,other-service,sleeping,own-child,06-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbend,2,1,70900,14180,49630,BMW,X6,Private,Urban,1997
259,39,330506,19-09-1995,OH,250/500,1000,23427,1422.36,604668,FEMALE,JD,craft-repair,movies,unmarried,24-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,PA,Columbus,1,3,46560,7760,31040,Nissan,Ultima,Private,Urban,2012
186,33,779075,27-02-2010,IN,100/300,1000,61941,1348.32,469429,FEMALE,Associate,craft-repair,cross-fit,wife,14-01-2015,Vehicle Theft,Others,Trivial Damage,NY,Arlington,2,1,4730,860,3010,Chevrolet,Malibu,Private,Urban,2013
201,40,799501,28-12-1991,OH,250/500,2000,175231,1315.56,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,18-02-2015,Vehicle Theft,Others,Minor Damage,SC,Northbrook,0,0,6820,1240,4340,Jeep,Grand Cherokee,Commercial,Urban,2003
436,58,987905,30-04-2002,OH,250/500,2000,38460,1407.01,475705,MALE,PhD,tech-support,sleeping,other-relative,10-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,WV,Riverwood,0,2,59900,11980,41930,BMW,X5,Commercial,Urban,1997
189,36,967756,28-04-2007,OH,250/500,2000,32509,1388.58,459122,FEMALE,MD,priv-house-serv,basketball,own-child,13-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,1,3,79560,13260,53040,Ford,Escape,Private,Urban,2009
105,33,830414,08-07-1996,IL,500/1000,500,36113,1310.76,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,17-02-2015,Single Vehicle Collision,Front Collision,Total Loss,VA,Northbrook,0,1,70290,12780,51120,Accura,MDX,Commercial,Rural,2008
163,31,127313,01-04-2002,IN,100/300,1000,166554,1004.63,460359,MALE,JD,priv-house-serv,hiking,not-in-family,07-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Hillsdale,2,0,63910,5810,46480,Suburu,Forrestor,Private,Urban,1999
219,40,786957,29-10-2006,OH,100/300,500,28472,1134.91,452735,FEMALE,Associate,transport-moving,golf,not-in-family,29-01-2015,Vehicle Theft,Others,Trivial Damage,SC,Riverwood,1,0,6400,640,5120,Toyota,Camry,Commercial,Rural,1997
88,25,332892,25-10-2007,IN,250/500,1000,87052,1194,613583,FEMALE,JD,handlers-cleaners,movies,husband,13-02-2015,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,1,2,66780,7420,51940,Ford,Escape,Private,Urban,2013
40,39,448642,28-03-2001,IN,500/1000,1000,33900,1248.25,605692,FEMALE,College,sales,hiking,own-child,01-02-2015,Parked Car,Others,Minor Damage,VA,Northbrook,0,2,8760,1460,5840,BMW,3 Series,Private,Rural,2013
284,42,526039,04-05-1995,OH,100/300,500,43910,1338.54,438178,MALE,Associate,machine-op-inspct,kayaking,wife,29-01-2015,Single Vehicle Collision,Side Collision,Major Damage,NC,Arlington,0,1,94160,8560,68480,Chevrolet,Malibu,Commercial,Urban,1996
59,40,444422,28-09-2011,IL,250/500,2000,0,782.23,449221,MALE,College,protective-serv,golf,other-relative,06-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,OH,Springfield,0,2,51570,5730,34380,BMW,X5,Commercial,Urban,2010
39,31,689500,28-01-2003,IL,250/500,2000,66783,1366.9,459322,FEMALE,High School,handlers-cleaners,polo,husband,28-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Northbend,1,0,52700,10540,31620,BMW,X6,Commercial,Rural,2014
147,34,806081,01-02-2011,IL,500/1000,1000,4087,1275.81,472657,MALE,High School,sales,dancing,wife,21-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,NY,Columbus,2,2,101010,15540,69930,Mercedes,ML350,Private,Rural,1998
156,37,384618,09-02-1993,IN,250/500,500,44077,1090.65,608331,MALE,High School,exec-managerial,golf,unmarried,16-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,Columbus,1,2,53400,5340,42720,Honda,Civic,Commercial,Rural,2010
123,31,756459,05-08-2005,IN,250/500,500,20852,1326,438546,FEMALE,Associate,prof-specialty,basketball,wife,17-02-2015,Single Vehicle Collision,Side Collision,Total Loss,SC,Northbrook,1,2,72120,12020,48080,Mercedes,ML350,Private,Urban,2009
231,43,655787,17-06-2006,IL,250/500,2000,20852,972.47,441981,MALE,College,protective-serv,reading,wife,01-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,PA,Hillsdale,2,2,77100,7710,53970,Audi,A3,Private,Urban,2010
247,39,419954,07-12-1993,IL,100/300,500,20852,806.31,602177,FEMALE,College,handlers-cleaners,dancing,wife,25-02-2015,Parked Car,Others,Trivial Damage,SC,Northbend,2,3,3300,600,2700,Dodge,RAM,Private,Urban,2003
194,35,275092,14-03-2012,IL,500/1000,500,0,1416.24,441659,FEMALE,MD,adm-clerical,golf,not-in-family,26-02-2015,Parked Car,Others,Minor Damage,WV,Northbend,1,0,5940,1080,4320,Nissan,Pathfinder,Private,Urban,2003
119,27,515698,05-08-1997,IN,250/500,2000,38305,1097.64,614812,MALE,High School,transport-moving,video-games,other-relative,06-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,PA,Northbend,1,0,63720,7080,35400,Accura,TL,Private,Rural,2006
259,43,132871,05-07-2009,IL,100/300,500,23553,947.75,458470,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,03-02-2015,Vehicle Theft,Others,Trivial Damage,SC,Riverwood,1,3,7680,1280,5760,Audi,A5,Private,Urban,2008
107,31,714929,25-11-1994,IL,100/300,2000,0,1018.73,469646,MALE,Associate,handlers-cleaners,yachting,own-child,27-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Riverwood,1,2,93730,14420,57680,Honda,CRV,Private,Urban,2001
48,44,297816,03-02-1997,IL,100/300,2000,12841,1400.74,611118,MALE,College,sales,base-jumping,other-relative,21-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Arlington,0,2,87300,17460,52380,Jeep,Wrangler,Private,Urban,2013
267,40,426708,09-10-2009,IL,250/500,500,13410,1155.53,465158,MALE,JD,transport-moving,camping,wife,24-01-2015,Parked Car,Others,Trivial Damage,NY,Columbus,0,2,5670,1260,3780,Ford,F150,Private,Urban,1997
286,47,615047,20-11-2002,IN,250/500,500,0,1386.93,457130,MALE,High School,priv-house-serv,bungie-jumping,husband,17-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Springfield,0,0,65800,13160,46060,Accura,TL,Private,Rural,2001
175,34,771236,29-05-1995,OH,100/300,500,54005,915.29,607893,FEMALE,JD,handlers-cleaners,base-jumping,wife,23-02-2015,Single Vehicle Collision,Front Collision,Major Damage,NY,Arlington,2,1,36720,4080,28560,Honda,Accord,Commercial,Rural,2009
111,29,235869,22-01-2011,IL,250/500,500,75089,1239.55,464736,FEMALE,PhD,farming-fishing,kayaking,own-child,09-01-2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Riverwood,1,1,52800,4800,38400,Mercedes,ML350,Private,Urban,1996
151,37,931625,18-10-2012,IN,250/500,500,98485,1366.42,476198,FEMALE,Associate,protective-serv,cross-fit,unmarried,15-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Arlington,1,2,59100,5910,47280,Nissan,Maxima,Commercial,Rural,1998
156,37,371635,13-10-1991,OH,500/1000,1000,0,1086.48,444903,MALE,Associate,machine-op-inspct,hiking,unmarried,16-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,1,1,77440,14080,56320,Suburu,Legacy,Commercial,Rural,1999
165,36,427199,01-10-2010,IL,250/500,2000,11100,1247.87,464336,MALE,Masters,armed-forces,golf,husband,14-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Northbend,2,2,45700,4570,36560,BMW,3 Series,Commercial,Rural,2008
253,41,261315,10-04-2013,OH,100/300,2000,34043,1312.75,471453,FEMALE,PhD,sales,dancing,other-relative,01-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Springfield,2,2,80740,7340,58720,Toyota,Camry,Private,Urban,2014
10,26,582973,11-06-2008,IN,100/300,2000,29802,765.64,466191,MALE,MD,sales,base-jumping,not-in-family,16-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Northbrook,0,3,31350,2850,22800,Honda,Accord,Commercial,Urban,2001
158,33,278091,04-12-2013,OH,100/300,2000,94675,1327.41,440930,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,04-01-2015,Single Vehicle Collision,Side Collision,Total Loss,SC,Hillsdale,0,0,35000,3500,24500,Suburu,Legacy,Private,Urban,2012
436,59,153154,21-08-2010,OH,500/1000,1000,59889,1338.55,430380,MALE,PhD,protective-serv,board-games,own-child,12-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,2,2,68000,13600,47600,Toyota,Corolla,Private,Urban,2014
91,30,515217,18-06-2010,IL,250/500,2000,22445,1316.63,613178,FEMALE,Masters,machine-op-inspct,golf,unmarried,08-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Northbend,2,0,84500,13000,58500,BMW,X6,Commercial,Urban,2009
256,42,860497,10-04-1992,IL,500/1000,1000,24464,1286.44,460564,FEMALE,MD,transport-moving,bungie-jumping,wife,22-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Northbend,2,1,75500,7550,52850,Nissan,Ultima,Commercial,Urban,1998
274,46,351741,03-02-1997,OH,500/1000,1000,687,1372.18,439929,MALE,High School,exec-managerial,bungie-jumping,not-in-family,13-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,Riverwood,1,3,90600,15100,60400,BMW,X5,Private,Rural,2009
275,45,403737,06-12-1991,IN,500/1000,2000,51122,1447.77,605756,FEMALE,Associate,adm-clerical,camping,wife,18-01-2015,Multi-vehicle Collision,Side Collision,Total Loss,VA,Northbend,1,1,64320,5360,48240,Accura,MDX,Commercial,Urban,1998
1,33,162004,19-09-1995,IL,250/500,500,74202,903.32,451184,FEMALE,High School,transport-moving,yachting,not-in-family,19-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Northbend,1,0,31700,6340,22190,Toyota,Highlander,Private,Rural,2006
85,30,740384,29-10-1993,IN,500/1000,1000,24365,1454.42,459588,MALE,Associate,protective-serv,reading,other-relative,31-01-2015,Single Vehicle Collision,Side Collision,Major Damage,NY,Springfield,0,1,74280,12380,49520,Suburu,Forrestor,Commercial,Urban,2006
233,37,876714,03-11-1991,IL,100/300,2000,33217,1603.42,616637,FEMALE,High School,sales,video-games,wife,06-02-2015,Single Vehicle Collision,Front Collision,Total Loss,NY,Columbus,0,2,80520,13420,60390,Toyota,Corolla,Commercial,Rural,2005
142,30,951543,09-07-2002,IN,250/500,2000,62151,1616.58,447979,MALE,JD,adm-clerical,polo,husband,04-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,0,3,63600,6360,44520,Dodge,RAM,Private,Urban,2010
266,44,576723,07-12-1999,IL,250/500,500,27222,1611.83,460176,MALE,High School,handlers-cleaners,movies,husband,02-01-2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,1,2,32800,3280,26240,BMW,3 Series,Private,Rural,2012
350,50,391003,01-07-2005,OH,500/1000,500,22698,889.13,459429,FEMALE,Masters,priv-house-serv,board-games,other-relative,26-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,PA,Northbend,0,2,44190,9820,29460,Audi,A3,Private,Rural,2015
97,26,225865,04-11-1991,IL,250/500,1000,95884,1252.08,465456,MALE,College,exec-managerial,sleeping,not-in-family,08-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,VA,Springfield,2,2,50400,10080,35280,Honda,CRV,Commercial,Urban,2000
399,55,984948,14-04-1993,IL,500/1000,2000,144242,995.56,464665,MALE,JD,tech-support,sleeping,not-in-family,07-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,Northbend,1,1,88400,17680,61880,Nissan,Pathfinder,Private,Urban,2010
305,49,890328,23-08-2009,IL,100/300,2000,0,1347.92,430853,FEMALE,High School,farming-fishing,bungie-jumping,own-child,17-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,NY,Hillsdale,0,2,66550,12100,48400,Volkswagen,Jetta,Private,Rural,2003
276,47,803294,18-06-1993,IN,100/300,1000,156879,1724.09,615712,MALE,PhD,craft-repair,yachting,own-child,12-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,0,0,65780,5980,47840,Chevrolet,Tahoe,Private,Urban,2014
257,40,414913,17-07-2012,IN,250/500,500,87862,1379.93,608228,MALE,MD,armed-forces,base-jumping,husband,01-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,Columbus,0,2,51810,9420,37680,Audi,A3,Private,Urban,2002
78,31,414519,25-01-1999,IN,250/500,1000,13225,1554.64,457535,MALE,PhD,protective-serv,board-games,own-child,03-02-2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,1,0,55660,5060,40480,Honda,CRV,Private,Urban,2009
129,28,818413,23-02-1990,OH,500/1000,1000,30254,1377.94,442540,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,21-02-2015,Single Vehicle Collision,Side Collision,Major Damage,NY,Springfield,2,3,44640,9920,29760,Toyota,Camry,Commercial,Urban,2005
283,46,487356,30-08-2000,IL,500/1000,2000,45114,1313.33,455332,FEMALE,PhD,transport-moving,reading,husband,09-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,Riverwood,1,3,77660,7060,56480,Nissan,Maxima,Private,Urban,2004
85,25,159768,03-09-2008,IN,250/500,500,0,1259.02,439534,FEMALE,JD,tech-support,base-jumping,unmarried,16-02-2015,Parked Car,Others,Trivial Damage,SC,Northbend,2,2,5640,940,3760,Nissan,Ultima,Private,Urban,2005
101,26,865839,02-08-1991,IL,500/1000,1000,30447,1371.88,462420,FEMALE,MD,prof-specialty,reading,husband,04-02-2015,Parked Car,Others,Trivial Damage,VA,Arlington,2,2,3190,580,2030,Suburu,Legacy,Private,Rural,1995
96,30,406567,25-09-2001,OH,100/300,500,5292,1399.27,448913,MALE,College,prof-specialty,hiking,wife,24-02-2015,Single Vehicle Collision,Side Collision,Total Loss,NC,Arlington,0,0,53440,0,46760,Ford,Escape,Commercial,Urban,2004
121,31,623032,11-03-2007,IL,500/1000,1000,47621,1061.98,440837,FEMALE,JD,armed-forces,camping,unmarried,01-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Hillsdale,0,1,65250,7250,50750,BMW,3 Series,Commercial,Urban,2002
176,39,935442,20-11-2010,OH,250/500,500,87621,1365.46,466634,MALE,College,armed-forces,sleeping,unmarried,05-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Columbus,2,1,44280,4920,34440,Chevrolet,Silverado,Private,Urban,2008
159,37,106873,28-08-1998,IL,500/1000,1000,60157,894.4,446435,MALE,Associate,tech-support,camping,wife,07-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,Springfield,2,0,70290,7810,54670,Dodge,RAM,Commercial,Urban,1999
120,30,563878,16-07-2002,IN,250/500,500,86159,956.69,438237,FEMALE,Associate,priv-house-serv,movies,husband,06-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,NY,Hillsdale,1,1,87100,8710,69680,Saab,92x,Commercial,Rural,2000
212,35,620855,29-04-1990,IN,500/1000,2000,53643,1123.89,468313,MALE,MD,priv-house-serv,video-games,unmarried,21-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,NY,Columbus,1,3,50380,4580,41220,Suburu,Forrestor,Private,Rural,1996
290,45,583169,01-02-1998,IL,100/300,500,53643,1085.03,476303,FEMALE,JD,sales,cross-fit,wife,01-03-2015,Multi-vehicle Collision,Side Collision,Total Loss,VA,Arlington,2,2,64800,12960,45360,Audi,A3,Private,Rural,2014
299,42,337677,20-07-2008,OH,100/300,2000,109719,1437.33,450339,FEMALE,Associate,craft-repair,movies,wife,24-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Columbus,1,3,70400,12800,44800,BMW,3 Series,Private,Urban,2000
66,26,445973,13-11-1998,IL,250/500,1000,31407,988.29,476502,MALE,College,armed-forces,skydiving,own-child,02-02-2015,Single Vehicle Collision,Rear Collision,Major Damage,NY,Northbend,2,2,57860,0,47340,Suburu,Impreza,Commercial,Urban,2008
334,47,156694,24-05-2001,IL,500/1000,500,31407,1238.89,600561,MALE,Masters,protective-serv,sleeping,other-relative,31-01-2015,Vehicle Theft,Others,Minor Damage,WV,Northbend,0,3,6240,960,4320,Ford,Fusion,Commercial,Urban,2011
216,38,421940,03-06-2014,IN,100/300,1000,65242,1384.64,600754,FEMALE,Associate,tech-support,board-games,unmarried,09-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,VA,Columbus,2,3,66600,16650,38850,Jeep,Grand Cherokee,Private,Rural,2012
86,28,613226,22-08-1991,IN,100/300,2000,22428,1595.07,439304,MALE,PhD,transport-moving,hiking,unmarried,23-02-2015,Single Vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,0,2,70920,11820,47280,Jeep,Wrangler,Private,Urban,2002
429,56,804410,12-12-1998,OH,250/500,1000,445,1127.89,460722,MALE,Associate,machine-op-inspct,skydiving,own-child,28-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Springfield,2,0,39480,6580,26320,Suburu,Forrestor,Private,Urban,2002
257,43,553565,18-02-1999,IN,500/1000,2000,58319,929.7,618632,FEMALE,PhD,handlers-cleaners,base-jumping,husband,14-01-2015,Single Vehicle Collision,Front Collision,Total Loss,VA,Arlington,2,2,63240,10540,47430,Mercedes,E400,Private,Urban,2005
15,34,399524,30-10-1997,IL,100/300,1000,0,1829.63,452204,MALE,JD,tech-support,cross-fit,not-in-family,03-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,1,0,67650,12300,49200,Audi,A5,Private,Rural,2009
230,39,331595,29-11-1999,IL,100/300,1000,90053,904.7,454530,FEMALE,MD,craft-repair,bungie-jumping,unmarried,17-02-2015,Single Vehicle Collision,Front Collision,Major Damage,SC,Riverwood,1,3,74200,14840,44520,Accura,TL,Private,Urban,2002
250,43,380067,07-07-2013,OH,500/1000,1000,45299,1243.84,474848,FEMALE,JD,tech-support,polo,own-child,30-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,VA,Columbus,1,3,64900,12980,38940,Volkswagen,Jetta,Commercial,Urban,2011
270,44,701521,05-07-2003,IL,500/1000,2000,45299,1030.95,435985,FEMALE,Associate,machine-op-inspct,paintball,other-relative,03-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,NC,Northbend,1,0,35900,7180,25130,Audi,A3,Commercial,Urban,2007
65,26,360770,21-09-2005,IN,100/300,500,51529,1285.03,457942,FEMALE,High School,craft-repair,camping,unmarried,03-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,VA,Riverwood,1,3,52200,5220,36540,Honda,CRV,Private,Urban,2011
475,57,958785,18-02-1995,OH,100/300,500,79059,1216.56,436522,MALE,Masters,adm-clerical,skydiving,own-child,31-01-2015,Single Vehicle Collision,Front Collision,Minor Damage,SC,Hillsdale,0,2,78000,6500,58500,Suburu,Forrestor,Private,Urban,2000
77,27,797934,07-04-1999,IN,500/1000,2000,83557,966.26,471704,FEMALE,High School,adm-clerical,base-jumping,own-child,06-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,0,0,67200,6720,53760,Volkswagen,Passat,Private,Urban,1995
256,43,883980,13-12-2014,OH,100/300,500,11954,1203.17,455810,FEMALE,MD,prof-specialty,golf,unmarried,06-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,WV,Hillsdale,0,0,63250,11500,46000,Nissan,Ultima,Private,Urban,1997
229,37,340614,01-06-1997,IL,250/500,2000,33572,1212.12,446544,FEMALE,MD,craft-repair,paintball,not-in-family,29-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Columbus,1,1,68760,11460,51570,Ford,Fusion,Private,Urban,1995
110,28,435784,13-07-2013,OH,250/500,1000,85413,1573.93,461919,MALE,College,other-service,movies,other-relative,07-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,NY,Springfield,0,2,65040,10840,43360,Suburu,Impreza,Private,Urban,2010
177,33,563837,30-12-2002,IL,100/300,1000,74854,1609.67,470128,MALE,College,adm-clerical,yachting,wife,20-01-2015,Single Vehicle Collision,Side Collision,Major Damage,SC,Springfield,1,3,82800,20700,48300,Jeep,Grand Cherokee,Private,Urban,2004
292,44,200827,28-02-1997,OH,500/1000,500,58478,1097.57,462836,MALE,PhD,priv-house-serv,basketball,unmarried,28-02-2015,Single Vehicle Collision,Side Collision,Total Loss,SC,Columbus,1,0,61700,6170,49360,Saab,93,Private,Urban,2005
